MarketDate,CollectDate,Name,Last,Diff,DiffP
2025-11-28,,DOW,47716.421875,289.30078125,0.6099901798343067
2025-11-28,,NASDAQ100,25434.890625,197.951171875,0.7843707524150216
2025-11-28,,RUSSELL2000,2500.429931640625,14.309814453125,0.5755882169246681
2025-11-28,,SP500,6849.08984375,36.47998046875,0.5354773163420171
2025-11-28,,US10Y,4.017000198364258,0.0190002918243408,0.4752449291772168
2025-11-28,,USDJPY,156.28399658203125,0.0449981689453125,0.0288008559977709
2025-11-28,,VIX,16.350000381469727,-0.8400001525878906,-4.8865626904644
2025-11-30,2025-11-30 22:40:33,USDJPY,156.07699584960938,-0.207000732421875,-0.1324516501683032
2025-12-01,2025-12-01 22:41:49,DOW,47289.328125,-427.09375,-0.8950665896928174
2025-12-01,2025-12-01 22:41:49,NASDAQ100,25342.849609375,-92.041015625,-0.3618691229382866
2025-12-01,2025-12-01 22:41:49,RUSSELL2000,2469.12890625,-31.301025390625,-1.2518257358280476
2025-12-01,2025-12-01 22:41:49,SP500,6812.6298828125,-36.4599609375,-0.5323329342915658
2025-12-01,2025-12-01 13:55:02,US10Y,4.065000057220459,0.0479998588562011,1.1949180106027115
2025-12-01,2025-12-01 09:52:58,USDJPY,155.2790069580078,-1.0049896240234375,-0.6430534450121594
2025-12-01,2025-12-01 09:52:58,VIX,18.020000457763672,1.670000076293945,10.214067506607767
2025-12-02,2025-12-02 22:37:30,DOW,47474.4609375,185.1328125,0.3914896232203552
2025-12-02,2025-12-02 22:37:30,NASDAQ100,25555.857421875,213.0078125,0.8405045832778122
2025-12-02,2025-12-02 22:37:30,RUSSELL2000,2464.9833984375,-4.146484375,-0.1679330198003551
2025-12-02,2025-12-02 22:37:30,SP500,6829.3701171875,16.740234375,0.2457235261999735
2025-12-02,2025-12-02 13:56:29,US10Y,4.109999656677246,0.0139994621276855,0.341783727117842
2025-12-02,2025-12-02 09:51:28,USDJPY,155.96600341796875,0.0380096435546875,0.0243764077473331
2025-12-02,2025-12-02 09:51:28,VIX,16.959999084472656,-0.2800006866455078,-1.6241339348193469
2025-12-03,2025-12-03 22:42:27,DOW,47882.8984375,408.4375,0.8603309904618125
2025-12-03,2025-12-03 22:42:27,NASDAQ100,25606.544921875,50.685546875,0.1983323907494306
2025-12-03,2025-12-03 22:42:27,RUSSELL2000,2512.136474609375,47.156494140625,1.9130578955719364
2025-12-03,2025-12-03 22:42:27,SP500,6849.72021484375,20.35009765625,0.2979791299498446
2025-12-03,2025-12-03 13:56:29,US10Y,4.065000057220459,-0.0209999084472656,-0.5139478370953404
2025-12-03,2025-12-03 09:47:24,USDJPY,155.56300354003906,0.0059967041015625,0.0038549880995634
2025-12-03,2025-12-03 09:47:24,VIX,16.59000015258789,0.0,0.0
2025-12-04,2025-12-04 22:39:34,DOW,47850.94140625,-31.95703125,-0.0667399683244164
2025-12-04,2025-12-04 22:39:34,NASDAQ100,25581.69921875,-24.83984375,-0.0970058612347859
2025-12-04,2025-12-04 22:39:34,RUSSELL2000,2531.15869140625,19.018798828125,0.7570756264137283
2025-12-04,2025-12-04 22:39:34,SP500,6857.1201171875,7.39990234375,0.108032183967368
2025-12-04,2025-12-04 13:56:34,US10Y,4.0980000495910645,0.0409998893737793,1.0105961980436162
2025-12-04,2025-12-04 09:47:48,USDJPY,154.92999267578125,-0.87701416015625,-0.5628849292251235
2025-12-04,2025-12-04 09:47:48,VIX,16.149999618530273,0.0699996948242187,0.4353214872906883
2025-12-05,2025-12-05 22:41:17,DOW,47954.98828125,104.046875,0.2174395569705761
2025-12-05,2025-12-05 22:41:17,NASDAQ100,25692.05078125,110.3515625,0.4313691657320335
2025-12-05,2025-12-05 22:41:17,RUSSELL2000,2521.484130859375,-9.67578125,-0.3822666913974851
2025-12-05,2025-12-05 22:41:17,SP500,6870.39990234375,13.27978515625,0.1936641757662079
2025-12-05,2025-12-05 13:52:03,US10Y,4.119999885559082,0.0120000839233398,0.2921150073707792
2025-12-05,2025-12-05 09:41:31,USDJPY,154.93099975585938,-0.175994873046875,-0.1134667546540651
2025-12-05,2025-12-05 09:41:31,VIX,15.68000030517578,-0.0999994277954101,-0.6337099460557559
2025-12-07,2025-12-07 21:27:59,USDJPY,155.23599243164062,0.093994140625,0.060585877235309
